group1,group2,meandiff,p-adj,lower,upper,reject
baseline,cautious,-0.0026,1.0,-0.0414,0.0362,False
baseline,creative,0.0064,1.0,-0.0324,0.0452,False
baseline,creative_dynamic,-0.0338,0.9104,-0.0959,0.0282,False
baseline,creative_static,-0.032,0.9444,-0.094,0.03,False
baseline,empathic,0.0135,0.9992,-0.0253,0.0523,False
baseline,empathic_dynamic,-0.05,0.304,-0.112,0.012,False
baseline,empathic_static,-0.0104,1.0,-0.0725,0.0516,False
baseline,euphoric,-0.016,0.9942,-0.0548,0.0228,False
baseline,high_adrenaline,0.0202,0.9403,-0.0186,0.059,False
baseline,high_cortisol,0.0159,0.9947,-0.0229,0.0547,False
baseline,high_dopamine,-0.0023,1.0,-0.0411,0.0365,False
baseline,high_oxytocin,-0.0009,1.0,-0.0397,0.0379,False
baseline,high_serotonin,-0.0005,1.0,-0.0393,0.0383,False
baseline,neutral_dynamic,-0.0226,0.9987,-0.0846,0.0394,False
baseline,neutral_static,0.0091,1.0,-0.0529,0.0711,False
baseline,stable,0.0076,1.0,-0.0312,0.0463,False
baseline,stressed,0.002,1.0,-0.0368,0.0408,False
cautious,creative,0.009,1.0,-0.0358,0.0538,False
cautious,creative_dynamic,-0.0313,0.9745,-0.0972,0.0347,False
cautious,creative_static,-0.0294,0.9864,-0.0953,0.0365,False
cautious,empathic,0.0161,0.9989,-0.0287,0.0609,False
cautious,empathic_dynamic,-0.0474,0.5226,-0.1134,0.0185,False
cautious,empathic_static,-0.0079,1.0,-0.0738,0.0581,False
cautious,euphoric,-0.0134,0.9999,-0.0582,0.0314,False
cautious,high_adrenaline,0.0228,0.9514,-0.022,0.0675,False
cautious,high_cortisol,0.0184,0.9943,-0.0263,0.0632,False
cautious,high_dopamine,0.0003,1.0,-0.0445,0.0451,False
cautious,high_oxytocin,0.0017,1.0,-0.0431,0.0465,False
cautious,high_serotonin,0.0021,1.0,-0.0427,0.0469,False
cautious,neutral_dynamic,-0.02,0.9999,-0.0859,0.046,False
cautious,neutral_static,0.0117,1.0,-0.0543,0.0776,False
cautious,stable,0.0101,1.0,-0.0347,0.0549,False
cautious,stressed,0.0046,1.0,-0.0402,0.0494,False
creative,creative_dynamic,-0.0403,0.7978,-0.1062,0.0257,False
creative,creative_static,-0.0384,0.8535,-0.1043,0.0275,False
creative,empathic,0.0071,1.0,-0.0377,0.0519,False
creative,empathic_dynamic,-0.0564,0.2066,-0.1224,0.0095,False
creative,empathic_static,-0.0169,1.0,-0.0828,0.0491,False
creative,euphoric,-0.0224,0.9576,-0.0672,0.0224,False
creative,high_adrenaline,0.0137,0.9999,-0.0311,0.0585,False
creative,high_cortisol,0.0094,1.0,-0.0354,0.0542,False
creative,high_dopamine,-0.0088,1.0,-0.0535,0.036,False
creative,high_oxytocin,-0.0073,1.0,-0.0521,0.0375,False
creative,high_serotonin,-0.0069,1.0,-0.0517,0.0379,False
creative,neutral_dynamic,-0.029,0.9882,-0.0949,0.0369,False
creative,neutral_static,0.0026,1.0,-0.0633,0.0686,False
