comparison,cond1,cond2,metric,mean1,mean2,diff,t,p,cohens_d,significant
Efecto del sesgo léxico,baseline,lexical_empathy,distinct_2,0.9524495839296613,0.9772951669781985,0.024845583048537234,-3.3913834295522602,0.0008395174994649142,0.4796140441280186,True
Efecto del sesgo léxico,baseline,lexical_empathy,sentiment_polarity,0.14225396685105018,0.18995454789390498,0.047700581042854795,-1.6111835566695194,0.10873265801664786,0.22785576373145544,False
Efecto del sesgo léxico,baseline,lexical_empathy,repetition_rate,0.0196616552793138,0.005926859691724059,-0.013734795587589742,2.5696109955796205,0.010916524739842963,-0.3633978719971731,True
Efecto del sesgo léxico,baseline,lexical_empathy,length,58.34,56.37,-1.970000000000006,1.2217480688381057,0.22325549839531497,-0.1727812688753987,False
Efecto del sesgo semántico,lexical_empathy,semantic_empathy,distinct_2,0.9772951669781985,0.9742421497468129,-0.003053017231385624,0.8153609869427696,0.4158454204188723,-0.11530945659643768,False
Efecto del sesgo semántico,lexical_empathy,semantic_empathy,sentiment_polarity,0.18995454789390498,0.17326635632885629,-0.016688191565048693,0.5394692981568391,0.5901692085525416,-0.0762924797937297,False
Efecto del sesgo semántico,lexical_empathy,semantic_empathy,repetition_rate,0.005926859691724059,0.004881248647738993,-0.0010456110439850657,0.6091918606441472,0.5430956311397963,-0.08615273914102531,False
Efecto del sesgo semántico,lexical_empathy,semantic_empathy,length,56.37,58.69,2.3200000000000003,-1.3445621622357642,0.1803049642904592,0.19014980452875113,False
Empathy vs Creativity,semantic_empathy,semantic_creativity,distinct_2,0.9742421497468129,0.9726132848582484,-0.0016288648885645074,0.3221776844284393,0.7476579972933992,-0.0455628050812658,False
Empathy vs Creativity,semantic_empathy,semantic_creativity,sentiment_polarity,0.17326635632885629,0.16079395382395378,-0.012472402504902502,0.4032244091849235,0.6872182227938832,-0.05702454281491974,False
Empathy vs Creativity,semantic_empathy,semantic_creativity,repetition_rate,0.004881248647738993,0.007592005658325165,0.002710757010586172,-0.8863571760039077,0.3765003527019404,0.12534983394114424,False
Empathy vs Creativity,semantic_empathy,semantic_creativity,length,58.69,57.48,-1.2100000000000009,0.8668279652084204,0.387085517452042,-0.12258798646420214,False
Empathy vs Caution,semantic_empathy,semantic_caution,distinct_2,0.9742421497468129,0.9772237265555503,0.0029815768087374517,-0.7812294404141655,0.4356006489004931,0.11048252699588565,False
Empathy vs Caution,semantic_empathy,semantic_caution,sentiment_polarity,0.17326635632885629,0.14280786317683636,-0.030458493152019928,1.040652465117431,0.2993059164267319,-0.14717048298860655,False
Empathy vs Caution,semantic_empathy,semantic_caution,repetition_rate,0.004881248647738993,0.004862501507085793,-1.8747140653200406e-05,0.009362071672666901,0.9925396827266205,-0.00132399687313945,False
Empathy vs Caution,semantic_empathy,semantic_caution,length,58.69,60.32,1.6300000000000026,-1.3008753445532644,0.1948130165435887,0.18397155552239994,False
