,count,unique,top,freq,mean,std,min,25%,50%,75%,max
experiment,7400,3,phase2,3500,,,,,,,
prompt,7400,100,I'm worried about my job interview next week.,83,,,,,,,
profile_name,7400,18,baseline,1000,,,,,,,
generated_text,7400,7371,What superpower would you want and why?,5,,,,,,,
length,7400.0,,,,55.47459459459459,10.609823292043469,3.0,52.0,57.0,61.0,84.0
distinct_1,7400.0,,,,0.7957053246082417,0.08671870244652027,0.1632653061224489,0.7413793103448276,0.7966101694915254,0.8490566037735849,1.0
distinct_2,7400.0,,,,0.9718912213577315,0.04242594565523564,0.1875,0.9615384615384616,0.9827586206896552,1.0,1.0
distinct_3,7400.0,,,,0.9924124638057421,0.027807715414474254,0.2127659574468085,1.0,1.0,1.0,1.0
repetition_rate,7400.0,,,,0.007587536194257886,0.027807715414474223,0.0,0.0,0.0,0.0,0.7872340425531915
sentiment_polarity,7400.0,,,,0.12800390000032796,0.20317593743665455,-0.8187499999999999,0.0,0.1126488095238095,0.25,1.0
sentiment_subjectivity,7400.0,,,,0.46266091064471826,0.20062316764593982,0.0,0.3442918771043771,0.4704124579124579,0.59375,1.0
generation_idx,7400.0,,,,1.8783783783783783,1.3946076398239475,0.0,1.0,2.0,3.0,4.0
perplexity,7400.0,,,,57.5838364020876,252.161224396705,1.9207165241241453,14.149203538894655,18.875840187072754,25.666627883911133,5692.65283203125
rouge_l,6500.0,,,,0.2795522577363334,0.12876703380393356,0.09375,0.2058823529411765,0.2535211267605634,0.3142857142857143,1.0
entropy,6500.0,,,,3.655573374381432,0.3698059290008071,1.0074458122253418,3.4254878759384155,3.640763521194458,3.869962632656098,5.886325836181641
is_dynamic,900,2,True,450,,,,,,,
learning_rate,900.0,,,,0.065,0.06580129862701116,0.0,0.0,0.06,0.12,0.15
init_dopamine,900.0,,,,0.6666666666666666,0.170061822168553,0.5,0.5,0.6,0.9,0.9
init_cortisol,900.0,,,,0.4,0.0816950568497374,0.3,0.3,0.4,0.5,0.5
init_oxytocin,900.0,,,,0.6333333333333333,0.18866665225463103,0.5,0.5,0.5,0.9,0.9
init_adrenaline,900.0,,,,0.5,0.08169505684973709,0.4,0.4,0.5,0.6,0.6
init_serotonin,900.0,,,,0.5666666666666668,0.09433332612731625,0.5,0.5,0.5,0.7,0.7
final_dopamine,900.0,,,,0.6501749999999997,0.1706001675936482,0.4549999999999999,0.5,0.6,0.8639999999999995,0.9
final_cortisol,900.0,,,,0.41409666666666667,0.07468879140630988,0.3,0.36,0.4,0.5,0.545
final_oxytocin,900.0,,,,0.6333333333333333,0.18866665225463103,0.5,0.5,0.5,0.9,0.9
final_adrenaline,900.0,,,,0.49243200000000004,0.07385280160716977,0.4,0.4,0.5,0.5519999999999997,0.6
final_serotonin,900.0,,,,0.5917466666666668,0.09666658361138447,0.5,0.5,0.5480000000000003,0.7,0.7480000000000002
delta_dopamine,900.0,,,,-0.01649166666666679,0.01736383695224427,-0.045,-0.0360000000000004,0.0,0.0,0.0
delta_cortisol,900.0,,,,0.014096666666666669,0.029628691976007253,-0.015,0.0,0.0,0.012,0.1200000000000001
delta_oxytocin,900.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta_adrenaline,900.0,,,,-0.007568000000000033,0.017188299509971645,-0.0480000000000002,0.0,0.0,0.0,0.0
delta_serotonin,900.0,,,,0.025080000000000068,0.0259442612942548,0.0,0.0,0.0,0.0480000000000002,0.06
total_hormone_change,900.0,,,,0.06346300000000028,0.07421278742550994,0.0,0.0,0.0,0.1050000000000001,0.242400000000001
prompt_category,900,5,creative_writing,180,,,,,,,
